A009	5.6774E7
A010	2.1210068E7
A018	-4.1728648E7
A019	4074496.2
A020	4.4837468E7
A021	-1.10849432E8
A038	5.6373924E7
A039	2987593.8
A040	-1.61968928E8
A041	-1.8758662E7
A043	-5.0015544E7
A044	-1.0771252E8
A048	-3.130548E7
A049	8467212.0
A050	3282785.0
A051	-1.5683371E7
A052	1.6081386E7
A053	-2.5759534E7
A054	-3.243302E7
A055	-3.3124606E7
A101	-1.99154368E8
A102	-3.41231712E8
A104	-3.25236064E8
A108	-7.1920144E7
A109	-2.82388704E8
A110	-1.6982328E8
A111	-1.20861128E8
A112	-2.7538656E8
A113	-2.40984528E8
A117	-1.80567888E8
A119	5.033082E7
A120	-2.587553E7
A121	2.0682966E7
A122	-1.32842784E8
A123	-1.08079472E8
A124	-6.9894592E7
A125	-2.5042524E7
A126	9692938.0
A128	-3.1336576E8
A133	-1.1234852E8
A134	-1.0489587E7
A135	-4466965.0
A136	-2.43142256E8
A137	-3.73556E8
A138	-1.68192976E8
A140	-1.12122552E8
A144	-1.03247368E8
A201	-3.1738134E7
A202	-2.0601968E7
A209	-6.3461036E7
A210	-3.09900608E8
A211	-1.37597712E8
A212	1.3185148E7
A213	-3.9319868E7
A214	4.4256388E7
A215	-6.48662E7
A216	-5.7346932E7
A226	-1998872.5
A227	-7.5340312E7
A228	-6.8092944E7
A229	2.8581728E7
A230	-1.59787264E8
A231	-1.4137312E8
A232	-1.4891746E7
A233	-5.263576E7
A234	-7.0689894E8
A235	3.3092148E7
A236	-7.6179064E7
A239	-1.43628928E8
A240	-3009769.5
A241	1.7531438E7
A242	-2.83150144E8
A244	-1.3178702E7
A246	-2.15234E8
A247	7617142.0
A248	1.354015E7
A249	-4.5269952E7
A250	-8.084576E7
A251	-2.06236976E8
A252	2.669906E7
A253	-9.1995336E7
A254	1.4011367E7
A256	-1810185.2
A925	-2.06316928E8
A938	1.8487082E7
A939	5.4290724E7
A940	-1.42438864E8
S101	-1.671776E8
S102	-1.77698048E8
S103	-4.7914164E7
S104	-1.20392048E8
S105	-1.780392E8
S107	-8.0241376E7
S110	-1.8058542E7
S111	-1.8263832E8
S113	-8.280424E7
S114	-1.33808416E8
S115	-1.5098104E8
S116	-1.29748544E8
S117	-446148.5
S120	-8570259.0
S121	-1.50387312E8
